200506_201MS.redundantAndUnique.filtered.15-18nt.jam,200506_202MS.redundantAndUnique.filtered.15-18nt.jam,200506_203MS.redundantAndUnique.filtered.15-18nt.jam,200506_204MS.redundantAndUnique.filtered.15-18nt.jam,200506_205MS.redundantAndUnique.filtered.15-18nt.jam,200506_206MS.redundantAndUnique.filtered.15-18nt.jam,200506_207MS.redundantAndUnique.filtered.15-18nt.jam,200506_208MS.redundantAndUnique.filtered.15-18nt.jam
WT,ski delete,pelo delete,skih-pelo delete,WT,skih delete,pelo delete,ski-pelo delete
